User,Retweet Degree,Reply Degree,Retweet Community,Reply Community
377,1325,833,0,1
3,1270,773,0,0
118,1232,535,0,0
8,1229,842,0,0
91,1139,655,0,0
5,1116,780,0,0
174,1116,830,1,0
565,1092,300,0,1
861,1072,530,1,0
114,1050,419,0,0
77,1044,518,0,1
415,1037,585,0,0
51,1034,445,0,0
35,1032,869,1,0
1319,1031,522,0,0
385,1027,613,1,1
10,1024,659,1,0
7,1017,513,1,0
0,1014,702,1,0
204,999,334,0,0
40,994,780,1,2
14,983,517,1,0
110,980,340,0,0
32,974,774,1,0
163,967,415,1,0
20,966,606,1,0
128,961,652,0,0
1056,953,556,1,2
79,952,553,0,0
13,950,317,0,0
58,948,590,1,0
134,946,493,1,0
836,925,418,1,0
107,924,683,1,0
158,913,705,1,2
1185,911,489,1,0
3098,906,516,1,2
444,902,291,0,1
34,899,495,1,2
62,898,468,0,1
81,889,358,1,0
389,876,768,0,0
376,870,401,1,0
575,869,356,0,0
357,859,240,0,0
1,852,557,0,0
637,852,317,1,2
165,849,349,0,1
25,841,288,0,0
71,840,550,1,0
1684,838,512,1,1
27,823,311,1,2
31,814,590,1,0
210,813,519,1,2
122,807,233,1,0
89,802,400,0,0
838,802,273,0,0
404,791,458,0,0
247,790,328,1,1
203,789,702,1,0
54,787,519,1,2
1082,783,528,0,0
238,781,220,1,2
644,775,559,1,2
53,769,471,1,2
1145,769,215,1,2
354,768,428,1,2
416,768,369,1,0
78,764,137,0,0
317,761,524,0,0
24,758,113,0,0
436,758,262,0,1
11,753,536,1,0
778,753,206,0,0
69,751,501,0,0
3183,746,225,0,1
76,743,419,1,0
123,743,428,1,2
1146,742,494,0,0
929,741,287,1,0
167,740,223,0,0
171,735,351,0,0
371,733,751,0,0
3556,733,403,1,1
29,731,572,1,2
1111,730,179,0,0
310,728,450,1,2
855,722,470,1,2
432,718,210,0,1
50,716,543,1,2
515,715,411,1,2
1244,713,127,1,2
113,710,542,0,0
30,703,469,1,2
267,702,355,1,0
126,701,334,0,0
856,699,377,1,1
1118,699,416,0,1
270,696,415,1,2
791,694,455,0,0
2792,694,320,0,0
233,693,401,1,0
280,693,204,1,2
356,693,391,1,0
248,690,314,1,0
143,689,258,1,2
441,687,255,1,2
255,686,569,0,2
57,683,48,1,0
295,683,62,1,2
1266,680,407,1,0
577,679,420,0,2
569,671,129,0,1
1153,671,100,1,2
28,670,670,1,2
1012,670,280,1,2
15,668,333,1,2
698,666,417,1,2
2361,665,180,1,0
1039,664,139,1,2
398,663,597,1,2
429,663,276,0,0
823,663,493,0,2
36,662,149,0,0
164,662,306,0,0
242,662,329,1,0
446,661,289,0,0
1465,657,535,1,0
75,656,435,0,0
455,655,253,1,2
428,654,343,1,2
135,653,436,1,0
391,653,475,1,2
437,653,481,0,0
933,653,314,0,0
2660,653,97,0,0
1068,652,352,0,0
332,651,382,1,2
497,651,262,1,0
115,648,301,1,0
640,648,346,1,2
1495,648,197,0,1
809,644,235,1,0
1294,644,274,1,2
312,643,252,0,0
1513,643,142,1,2
152,641,249,1,0
464,640,229,1,0
798,640,404,0,0
106,639,347,1,2
858,638,230,1,0
499,635,227,1,2
172,634,279,0,0
235,634,247,0,0
1456,633,256,1,2
1809,633,708,0,0
157,632,488,1,2
3215,631,221,1,2
1333,629,238,0,1
2321,627,492,1,2
95,626,171,1,0
365,626,244,0,0
911,625,114,1,0
154,624,194,1,2
1698,624,166,1,0
722,623,417,1,2
818,619,343,1,2
183,618,240,1,0
1231,618,223,1,0
676,613,224,1,2
1404,613,83,1,2
1964,613,365,1,2
149,611,314,1,2
1132,609,347,1,2
418,608,341,1,2
781,608,266,1,0
309,606,346,1,0
496,602,400,1,2
220,601,102,0,0
303,601,329,1,2
785,601,96,1,2
67,600,235,1,0
257,600,356,1,0
197,599,308,1,2
1638,599,382,1,2
1370,598,116,0,1
3202,598,385,0,0
315,597,162,1,2
387,597,781,2,1
811,596,928,2,1
1801,596,355,1,2
12,595,147,0,0
18,592,368,0,0
162,590,524,1,0
291,590,322,1,2
980,589,316,1,2
88,588,260,0,0
510,588,425,1,2
254,587,91,0,1
1148,587,366,1,2
3394,587,144,1,0
277,585,48,1,2
1963,585,87,0,0
121,582,204,0,0
1812,582,226,1,2
21,580,297,1,2
276,580,358,1,2
3249,580,200,1,2
202,577,260,0,0
324,577,350,0,0
217,576,270,1,2
290,576,278,1,0
221,575,150,0,1
802,575,271,1,2
1157,575,137,1,0
2128,574,114,1,2
2618,574,190,0,1
131,572,238,0,0
305,572,309,0,0
307,572,133,1,2
494,572,149,1,2
1831,570,86,0,0
120,569,138,0,0
209,569,323,1,0
344,569,480,0,0
1475,569,72,0,0
671,568,100,1,0
1264,568,171,0,0
996,567,202,1,2
3643,567,289,1,2
521,565,254,1,2
47,564,359,1,2
1302,564,175,1,0
1210,563,225,1,2
1442,563,185,1,0
3726,562,114,1,0
1315,561,105,0,1
104,560,208,0,0
141,559,245,0,1
333,558,78,0,0
1337,558,264,0,0
144,557,275,0,0
1844,557,63,1,2
3656,557,246,1,0
852,556,357,1,0
1741,556,155,0,0
2716,556,96,1,2
263,555,265,0,0
3315,555,272,1,2
467,554,257,1,0
821,552,416,0,0
288,551,264,0,0
367,551,394,1,2
513,551,301,0,0
3156,551,181,1,2
3481,551,303,0,0
96,550,146,0,0
199,550,564,1,2
1182,550,85,0,0
831,549,110,0,0
1686,549,213,1,0
39,548,148,1,2
630,548,192,1,2
769,547,224,1,2
786,547,344,1,2
1762,547,402,0,0
347,546,234,1,2
1896,546,315,1,2
82,545,169,1,0
90,545,229,0,0
2726,545,204,1,0
327,542,452,0,0
2387,541,139,1,2
109,538,287,1,2
1121,538,126,1,2
360,537,70,1,2
3653,537,92,1,0
871,536,251,1,0
1048,535,196,1,0
1083,535,58,1,2
1382,535,221,0,0
3517,535,144,1,2
601,533,17,0,0
142,532,305,1,2
3258,532,209,1,0
3459,532,319,1,2
3693,532,87,1,2
1165,531,279,1,1
3812,531,198,1,0
2280,530,147,1,0
2979,530,188,0,0
3078,530,224,1,2
298,528,182,0,0
724,528,178,1,2
1371,527,220,1,0
3509,527,313,0,0
3658,527,365,1,2
56,526,228,1,0
723,526,195,0,0
1652,526,280,0,0
151,524,150,0,0
520,524,153,0,0
649,524,295,1,2
3299,523,165,1,2
822,522,185,1,2
1550,522,412,1,2
2734,522,315,1,0
3502,522,217,1,2
711,521,307,0,1
1689,520,173,1,0
1887,520,58,1,2
2925,520,44,1,2
3171,520,121,1,0
3200,520,319,1,2
2392,519,219,0,0
2774,517,389,1,0
3499,516,466,1,2
361,515,121,0,0
3460,515,290,1,0
918,513,282,0,0
1161,513,51,1,2
1329,513,28,1,2
1589,513,282,1,0
915,512,322,1,2
1630,512,394,1,2
892,511,117,1,2
1074,511,86,1,2
1168,511,126,1,0
373,510,74,1,2
2233,510,152,0,0
1565,509,305,1,2
2625,509,3,1,0
3381,508,170,0,0
1034,507,105,0,0
1441,507,338,1,0
775,506,263,1,2
1021,506,118,0,0
2976,506,296,1,0
3146,506,144,1,0
2898,505,48,1,2
159,504,199,1,2
492,504,187,0,0
502,504,253,0,0
1028,504,125,1,2
1284,504,319,0,0
3095,503,114,1,0
991,502,372,0,0
2328,502,42,0,0
232,501,123,0,1
264,501,146,1,0
3729,501,277,1,2
265,500,70,0,1
419,500,31,0,0
1107,500,266,1,2
2509,499,46,1,2
3662,499,53,1,2
320,497,146,0,0
1024,497,221,1,2
1332,495,230,1,2
1398,495,226,1,2
965,494,256,1,2
1472,494,237,1,0
4035,494,164,1,2
516,493,190,0,1
731,493,248,1,2
2009,493,290,1,2
3727,492,183,1,2
1788,491,26,0,0
423,490,81,0,0
1317,490,208,1,0
3007,490,160,0,0
223,488,86,1,0
1282,488,265,1,2
815,487,134,0,0
1828,487,407,1,2
2515,487,114,0,1
473,486,288,1,0
1385,486,220,0,0
550,485,148,0,1
755,484,323,0,0
1129,484,7,1,2
969,483,93,1,2
1355,483,336,1,2
1459,483,86,0,0
1731,482,225,0,0
190,480,254,1,2
239,480,242,1,2
1032,480,266,1,2
2933,480,216,1,0
3648,480,7,1,0
178,479,313,1,2
1071,479,223,1,2
1072,479,239,1,2
1526,479,161,1,2
2803,479,90,0,0
3958,479,111,1,2
256,478,373,1,2
452,478,128,0,0
1300,478,246,1,2
1419,477,78,1,2
2624,477,232,0,0
3590,477,116,1,2
63,476,102,0,0
527,476,314,0,0
1683,476,78,0,0
2142,476,114,1,2
2153,476,32,1,2
155,475,176,0,0
325,475,104,1,2
937,475,81,1,2
2921,475,114,1,0
3738,475,175,0,0
3951,475,28,1,2
893,474,92,0,0
953,474,308,1,0
2183,474,247,1,2
2694,474,242,1,0
3469,474,87,1,2
