User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
377,1325,833,0,1,8417,6,8423,5571,2,5573
3,1270,773,0,0,11365,502,11867,5010,460,5470
118,1232,535,0,0,4111,693,4804,1221,224,1445
8,1229,842,0,0,6430,750,7180,4022,282,4304
91,1139,655,0,0,5815,476,6291,3140,858,3998
5,1116,780,0,0,6512,266,6778,3497,381,3878
174,1116,830,1,0,9946,671,10617,5245,341,5586
565,1092,300,0,1,7059,833,7892,961,82,1043
861,1072,530,1,0,5842,753,6595,1297,149,1446
114,1050,419,0,0,3963,8,3971,1037,7,1044
77,1044,518,0,1,3813,141,3954,2204,285,2489
415,1037,585,0,0,4241,0,4241,2399,8,2407
51,1034,445,0,0,4026,411,4437,1048,0,1048
35,1032,869,1,0,5908,276,6184,4767,258,5025
1319,1031,522,0,0,4340,275,4615,1342,824,2166
385,1027,613,1,1,7704,32,7736,2126,102,2228
10,1024,659,1,0,5595,1562,7157,3005,95,3100
7,1017,513,1,0,5385,1956,7341,2141,28,2169
0,1014,702,1,0,3882,1236,5118,2437,106,2543
204,999,334,0,0,4976,16,4992,844,45,889
40,994,780,1,2,10279,465,10744,3745,226,3971
14,983,517,1,0,3953,934,4887,1346,395,1741
110,980,340,0,0,5826,1445,7271,879,140,1019
32,974,774,1,0,3553,325,3878,2333,501,2834
163,967,415,1,0,3855,1461,5316,753,80,833
20,966,606,1,0,4563,706,5269,2293,72,2365
128,961,652,0,0,2502,729,3231,1571,270,1841
1056,953,556,1,2,7573,916,8489,2585,824,3409
79,952,553,0,0,2708,372,3080,1777,708,2485
13,950,317,0,0,3957,1173,5130,835,186,1021
58,948,590,1,0,3617,569,4186,1647,430,2077
134,946,493,1,0,3893,893,4786,1171,443,1614
836,925,418,1,0,2608,1435,4043,917,100,1017
107,924,683,1,0,8990,839,9829,4470,432,4902
158,913,705,1,2,5687,1579,7266,3615,241,3856
1185,911,489,1,0,7697,279,7976,912,490,1402
3098,906,516,1,2,2902,1386,4288,1835,268,2103
444,902,291,0,1,2447,17,2464,1067,501,1568
34,899,495,1,2,2579,1599,4178,2193,103,2296
62,898,468,0,1,5105,1344,6449,2025,352,2377
81,889,358,1,0,3815,501,4316,852,231,1083
389,876,768,0,0,2906,361,3267,2890,465,3355
376,870,401,1,0,2720,1114,3834,1012,17,1029
575,869,356,0,0,2570,753,3323,922,507,1429
357,859,240,0,0,5185,735,5920,609,139,748
1,852,557,0,0,2607,174,2781,1984,678,2662
637,852,317,1,2,3179,1347,4526,676,81,757
165,849,349,0,1,3522,1136,4658,942,123,1065
25,841,288,0,0,2649,1207,3856,354,220,574
71,840,550,1,0,2911,1542,4453,1594,399,1993
1684,838,512,1,1,4265,569,4834,1679,497,2176
27,823,311,1,2,3413,1705,5118,719,0,719
31,814,590,1,0,5449,418,5867,2242,922,3164
210,813,519,1,2,4044,499,4543,1726,345,2071
122,807,233,1,0,3633,731,4364,640,317,957
89,802,400,0,0,1799,566,2365,690,172,862
838,802,273,0,0,1406,1271,2677,450,61,511
404,791,458,0,0,1364,896,2260,1136,130,1266
247,790,328,1,1,1943,941,2884,695,28,723
203,789,702,1,0,3008,487,3495,2655,16,2671
54,787,519,1,2,3409,753,4162,1907,119,2026
1082,783,528,0,0,1746,1021,2767,1570,215,1785
238,781,220,1,2,1142,1308,2450,361,84,445
644,775,559,1,2,3251,996,4247,2230,99,2329
53,769,471,1,2,2416,476,2892,1286,476,1762
1145,769,215,1,2,1325,1639,2964,479,22,501
354,768,428,1,2,4853,28,4881,1153,64,1217
416,768,369,1,0,934,1091,2025,676,133,809
78,764,137,0,0,7445,90,7535,349,136,485
317,761,524,0,0,2205,606,2811,2419,260,2679
24,758,113,0,0,5516,1138,6654,666,510,1176
436,758,262,0,1,2740,341,3081,968,431,1399
11,753,536,1,0,1831,290,2121,790,1299,2089
778,753,206,0,0,1267,1621,2888,245,64,309
69,751,501,0,0,1903,221,2124,1575,729,2304
3183,746,225,0,1,1796,2,1798,450,0,450
76,743,419,1,0,1956,537,2493,1156,0,1156
123,743,428,1,2,2826,681,3507,1981,181,2162
1146,742,494,0,0,2610,76,2686,2250,1021,3271
929,741,287,1,0,1280,1386,2666,565,150,715
167,740,223,0,0,2019,756,2775,448,124,572
171,735,351,0,0,2003,10,2013,2124,1348,3472
371,733,751,0,0,2117,393,2510,3106,86,3192
3556,733,403,1,1,3784,0,3784,1017,0,1017
29,731,572,1,2,3819,556,4375,4121,444,4565
1111,730,179,0,0,1589,692,2281,583,621,1204
310,728,450,1,2,2419,505,2924,1037,237,1274
855,722,470,1,2,1390,1265,2655,1713,320,2033
432,718,210,0,1,4028,11,4039,451,344,795
50,716,543,1,2,1722,1185,2907,2514,296,2810
515,715,411,1,2,1679,571,2250,1430,205,1635
1244,713,127,1,2,639,1615,2254,145,30,175
113,710,542,0,0,1313,347,1660,1469,624,2093
30,703,469,1,2,2941,179,3120,1596,400,1996
267,702,355,1,0,1310,811,2121,793,416,1209
126,701,334,0,0,2044,267,2311,601,455,1056
856,699,377,1,1,4002,218,4220,1222,250,1472
1118,699,416,0,1,5102,61,5163,2562,84,2646
270,696,415,1,2,3105,411,3516,925,202,1127
791,694,455,0,0,1968,442,2410,1474,696,2170
2792,694,320,0,0,637,1460,2097,411,475,886
233,693,401,1,0,3201,137,3338,1418,271,1689
280,693,204,1,2,2745,406,3151,469,106,575
356,693,391,1,0,1567,297,1864,922,350,1272
248,690,314,1,0,1726,438,2164,854,527,1381
143,689,258,1,2,1481,1233,2714,611,312,923
441,687,255,1,2,2321,1668,3989,468,89,557
255,686,569,0,2,2965,109,3074,2554,18,2572
57,683,48,1,0,200,1990,2190,80,13,93
295,683,62,1,2,204,1585,1789,58,28,86
1266,680,407,1,0,1651,109,1760,1023,645,1668
577,679,420,0,2,1557,74,1631,1262,13,1275
569,671,129,0,1,2759,544,3303,531,322,853
1153,671,100,1,2,408,1713,2121,147,11,158
28,670,670,1,2,4441,38,4479,1297,988,2285
1012,670,280,1,2,932,931,1863,480,83,563
15,668,333,1,2,3267,0,3267,631,0,631
698,666,417,1,2,1840,511,2351,914,399,1313
2361,665,180,1,0,2430,569,2999,342,91,433
1039,664,139,1,2,341,1952,2293,167,116,283
398,663,597,1,2,4687,1024,5711,4694,234,4928
429,663,276,0,0,4059,681,4740,1255,103,1358
823,663,493,0,2,1890,135,2025,2563,3,2566
36,662,149,0,0,2112,396,2508,804,599,1403
164,662,306,0,0,1414,396,1810,536,280,816
242,662,329,1,0,1210,1158,2368,631,123,754
446,661,289,0,0,1223,847,2070,438,309,747
1465,657,535,1,0,2390,0,2390,1512,0,1512
75,656,435,0,0,1228,470,1698,989,297,1286
455,655,253,1,2,761,1664,2425,611,0,611
428,654,343,1,2,1652,947,2599,864,12,876
135,653,436,1,0,1350,429,1779,962,749,1711
391,653,475,1,2,1831,885,2716,715,549,1264
437,653,481,0,0,1572,347,1919,1045,268,1313
933,653,314,0,0,2264,92,2356,1746,1121,2867
2660,653,97,0,0,1684,1251,2935,359,208,567
1068,652,352,0,0,1885,485,2370,829,504,1333
332,651,382,1,2,988,1280,2268,262,632,894
497,651,262,1,0,468,1214,1682,396,193,589
115,648,301,1,0,1163,1113,2276,416,562,978
640,648,346,1,2,692,1166,1858,245,478,723
1495,648,197,0,1,1744,0,1744,537,85,622
809,644,235,1,0,2439,314,2753,1178,856,2034
1294,644,274,1,2,3215,0,3215,514,0,514
312,643,252,0,0,3026,421,3447,895,829,1724
1513,643,142,1,2,435,1445,1880,160,61,221
152,641,249,1,0,810,928,1738,244,415,659
464,640,229,1,0,2030,51,2081,372,112,484
798,640,404,0,0,1999,296,2295,1409,657,2066
106,639,347,1,2,911,851,1762,620,229,849
858,638,230,1,0,1797,1754,3551,508,337,845
499,635,227,1,2,914,1273,2187,263,250,513
172,634,279,0,0,1078,1334,2412,296,420,716
235,634,247,0,0,949,805,1754,254,311,565
1456,633,256,1,2,2945,759,3704,489,133,622
1809,633,708,0,0,1698,663,2361,2754,194,2948
157,632,488,1,2,1794,680,2474,884,441,1325
3215,631,221,1,2,776,1177,1953,344,121,465
1333,629,238,0,1,1348,2,1350,668,27,695
2321,627,492,1,2,1862,524,2386,963,589,1552
95,626,171,1,0,1267,1026,2293,287,64,351
365,626,244,0,0,1374,1311,2685,329,220,549
911,625,114,1,0,1811,42,1853,218,99,317
154,624,194,1,2,599,1399,1998,157,194,351
1698,624,166,1,0,1166,1750,2916,245,86,331
722,623,417,1,2,1596,822,2418,1129,292,1421
818,619,343,1,2,642,1265,1907,228,533,761
183,618,240,1,0,870,598,1468,676,74,750
1231,618,223,1,0,1954,164,2118,685,335,1020
676,613,224,1,2,1257,872,2129,359,136,495
1404,613,83,1,2,278,1501,1779,121,0,121
1964,613,365,1,2,534,1132,1666,667,305,972
149,611,314,1,2,2251,823,3074,1034,15,1049
1132,609,347,1,2,697,1390,2087,368,416,784
418,608,341,1,2,891,1107,1998,536,460,996
781,608,266,1,0,496,1263,1759,365,377,742
309,606,346,1,0,813,830,1643,914,320,1234
496,602,400,1,2,1135,1010,2145,445,852,1297
220,601,102,0,0,1448,67,1515,132,6,138
303,601,329,1,2,2503,589,3092,607,337,944
785,601,96,1,2,207,1701,1908,64,74,138
67,600,235,1,0,864,1384,2248,189,269,458
257,600,356,1,0,4284,364,4648,2152,1016,3168
197,599,308,1,2,4976,106,5082,1323,516,1839
1638,599,382,1,2,1479,1036,2515,489,475,964
1370,598,116,0,1,1419,0,1419,188,0,188
3202,598,385,0,0,1808,394,2202,1343,596,1939
315,597,162,1,2,2401,557,2958,343,116,459
387,597,781,2,1,5977,0,5977,6716,0,6716
811,596,928,2,1,11703,341,12044,14153,80,14233
1801,596,355,1,2,442,804,1246,339,554,893
12,595,147,0,0,1468,830,2298,527,353,880
18,592,368,0,0,1144,1009,2153,912,266,1178
162,590,524,1,0,1534,82,1616,957,580,1537
291,590,322,1,2,1826,552,2378,1121,166,1287
980,589,316,1,2,1748,670,2418,1043,0,1043
88,588,260,0,0,2609,891,3500,321,256,577
510,588,425,1,2,902,897,1799,627,398,1025
254,587,91,0,1,2320,25,2345,190,22,212
1148,587,366,1,2,977,411,1388,309,676,985
3394,587,144,1,0,56,1352,1408,44,206,250
277,585,48,1,2,57,1633,1690,25,57,82
1963,585,87,0,0,486,1793,2279,184,75,259
121,582,204,0,0,2074,1494,3568,495,477,972
1812,582,226,1,2,217,1654,1871,161,244,405
21,580,297,1,2,2059,690,2749,1080,717,1797
276,580,358,1,2,1281,1272,2553,365,590,955
3249,580,200,1,2,112,1269,1381,120,232,352
202,577,260,0,0,1083,1195,2278,409,80,489
324,577,350,0,0,1737,67,1804,977,720,1697
217,576,270,1,2,524,1258,1782,242,223,465
290,576,278,1,0,418,1296,1714,531,412,943
221,575,150,0,1,2211,377,2588,606,277,883
802,575,271,1,2,839,832,1671,369,146,515
1157,575,137,1,0,81,1731,1812,78,153,231
2128,574,114,1,2,154,1373,1527,88,127,215
2618,574,190,0,1,2576,1,2577,394,30,424
131,572,238,0,0,839,784,1623,909,554,1463
305,572,309,0,0,1131,442,1573,1164,632,1796
307,572,133,1,2,657,1291,1948,318,32,350
494,572,149,1,2,792,1393,2185,234,73,307
1831,570,86,0,0,1426,314,1740,130,8,138
120,569,138,0,0,3105,1864,4969,323,128,451
209,569,323,1,0,1062,362,1424,312,548,860
344,569,480,0,0,1179,345,1524,1079,185,1264
1475,569,72,0,0,1520,328,1848,190,91,281
671,568,100,1,0,155,1263,1418,86,66,152
1264,568,171,0,0,1493,604,2097,289,167,456
996,567,202,1,2,402,1254,1656,168,170,338
3643,567,289,1,2,485,1584,2069,538,230,768
521,565,254,1,2,461,1353,1814,275,217,492
47,564,359,1,2,1746,308,2054,711,487,1198
1302,564,175,1,0,412,1066,1478,229,160,389
1210,563,225,1,2,290,1704,1994,164,323,487
1442,563,185,1,0,507,816,1323,308,32,340
3726,562,114,1,0,24,1543,1567,71,115,186
1315,561,105,0,1,1211,14,1225,301,103,404
104,560,208,0,0,1113,188,1301,451,10,461
141,559,245,0,1,2233,212,2445,1681,944,2625
333,558,78,0,0,1813,1802,3615,174,104,278
1337,558,264,0,0,1322,415,1737,633,142,775
144,557,275,0,0,949,1079,2028,278,403,681
1844,557,63,1,2,49,1963,2012,59,75,134
3656,557,246,1,0,449,1619,2068,310,259,569
